::1, GET, /, [object Object] 
::1, GET, /, [object Object] 
::1, GET, /, [object Object] 
::1, GET, /, [object Object] 
::1, GET, /, [object Object] 
::1, GET, /, [object Object] 
::1, GET, /, [object Object] 
::1, GET, /public/javascript/home.js, [object Object] 
::ffff:127.0.0.1, GET, /public/javascript/application-classes.js, [object Object] 
::ffff:127.0.0.1, GET, /public/javascript/home-search.js, [object Object] 
::ffff:127.0.0.1, GET, /public/assets/logo.svg, [object Object] 
::1, GET, /notepad, [object Object] 
::1, GET, /public/javascript/notepad.js, [object Object] 
::1, GET, /public/javascript/notepad-voice.js, [object Object] 
::1, GET, /public/javascript/notepad-to-pdf.js, [object Object] 
::1, GET, /public/javascript/application-classes.js, [object Object] 
::1, GET, /notepad, [object Object] 
::1, GET, /public/javascript/notepad.js, [object Object] 
::ffff:127.0.0.1, GET, /public/javascript/application-classes.js, [object Object] 
::ffff:127.0.0.1, GET, /public/javascript/notepad-voice.js, [object Object] 
::1, GET, /public/javascript/notepad-to-pdf.js, [object Object] 
::1, GET, /notepad, [object Object] 
::1, GET, /javascript/notepad.js, [object Object] 
::1, GET, /javascript/application-classes.js, [object Object] 
::1, GET, /javascript/notepad-voice.js, [object Object] 
::1, GET, /javascript/notepad-to-pdf.js, [object Object] 
::1, GET, /assets/logo.svg, [object Object] 
::1, GET, /notepad, [object Object] 
::1, GET, /javascript/notepad.js, [object Object] 
::1, GET, /javascript/application-classes.js, [object Object] 
::1, GET, /javascript/notepad-voice.js, [object Object] 
::1, GET, /javascript/notepad-to-pdf.js, [object Object] 
::1, GET, /index.html, [object Object] 
::1, GET, /, [object Object] 
::1, GET, /javascript/home.js, [object Object] 
::1, GET, /javascript/home-search.js, [object Object] 
::1, GET, /javascript/application-classes.js, [object Object] 
::1, GET, /notepad.html, [object Object] 
::1, GET, /, [object Object] 
::1, GET, /javascript/home.js, [object Object] 
::1, GET, /javascript/application-classes.js, [object Object] 
::1, GET, /javascript/home-search.js, [object Object] 
::1, GET, /notepad, [object Object] 
::1, GET, /javascript/notepad.js, [object Object] 
::1, GET, /javascript/application-classes.js, [object Object] 
::1, GET, /javascript/notepad-voice.js, [object Object] 
::1, GET, /javascript/notepad-to-pdf.js, [object Object] 
::1, GET, /index, [object Object] 
::1, GET, /index, [object Object] 
::1, GET, /notepad, [object Object] 
::1, GET, /javascript/notepad.js, [object Object] 
::1, GET, /javascript/application-classes.js, [object Object] 
::1, GET, /javascript/notepad-voice.js, [object Object] 
::1, GET, /javascript/notepad-to-pdf.js, [object Object] 
::1, GET, /, [object Object] 
::1, GET, /javascript/home.js, [object Object] 
::1, GET, /javascript/application-classes.js, [object Object] 
::1, GET, /javascript/home-search.js, [object Object] 
::1, GET, /notepad, [object Object] 
::1, GET, /javascript/notepad.js, [object Object] 
::1, GET, /javascript/application-classes.js, [object Object] 
::1, GET, /javascript/notepad-voice.js, [object Object] 
::1, GET, /javascript/notepad-to-pdf.js, [object Object] 
::1, GET, /offline, [object Object] 
::1, GET, /favicon.ico, [object Object] 
::1, GET, /offline, [object Object] 
::1, GET, /, [object Object] 
::1, GET, /javascript/home.js, [object Object] 
::1, GET, /javascript/application-classes.js, [object Object] 
::1, GET, /javascript/home-search.js, [object Object] 
::1, GET, /, [object Object] 
::1, GET, /javascript/home.js, [object Object] 
::1, GET, /javascript/application-classes.js, [object Object] 
::1, GET, /javascript/home-search.js, [object Object] 
::1, GET, /, [object Object] 
::1, GET, /javascript/home.js, [object Object] 
::1, GET, /javascript/application-classes.js, [object Object] 
::1, GET, /javascript/home-search.js, [object Object] 
::1, GET, /offline, [object Object] 
::1, GET, /offline, [object Object] 
::1, GET, /offline, [object Object] 
::1, GET, /offline, [object Object] 
::1, GET, /, [object Object] 
::1, GET, /javascript/home.js, [object Object] 
::1, GET, /javascript/application-classes.js, [object Object] 
